year,county,crashes,driver,passenger,pedestrian,cyclist
2008,Atlantic,30,17,8,6,0
2008,Bergen,22,10,5,7,1
2008,Burlington,45,23,6,12,4
2008,Camden,42,25,4,15,0
2008,Cape May,11,8,3,0,0
2008,Cumberland,23,15,5,2,1
2008,Essex,43,23,11,14,1
2008,Gloucester,29,14,13,5,1
2008,Hudson,24,13,4,6,4
2008,Hunterdon,9,6,2,3,0
2008,Mercer,20,11,6,4,1
2008,Middlesex,42,28,9,8,1
2008,Monmouth,45,29,9,7,2
2008,Morris,25,15,2,6,3
2008,Ocean,37,20,8,10,0
2008,Passaic,25,9,5,11,0
2008,Salem,14,13,3,0,0
2008,Somerset,15,8,2,5,0
2008,Sussex,14,12,2,0,0
2008,Union,35,17,4,16,1
2008,Warren,5,4,1,1,0
2009,Atlantic,41,22,8,12,1
2009,Bergen,25,14,0,12,0
2009,Burlington,43,27,14,7,0
2009,Camden,37,24,7,9,2
2009,Cape May,8,7,0,1,0
2009,Cumberland,27,21,5,1,1
2009,Essex,40,14,7,21,0
2009,Gloucester,22,14,4,3,1
2009,Hudson,22,7,3,12,0
2009,Hunterdon,8,5,1,2,0
2009,Mercer,21,11,4,7,0
2009,Middlesex,44,19,10,18,1
2009,Monmouth,34,18,2,11,3
2009,Morris,18,12,3,3,0
2009,Ocean,57,32,12,15,4
2009,Passaic,23,16,5,5,0
2009,Salem,13,11,1,1,1
2009,Somerset,13,9,3,1,0
2009,Sussex,7,5,2,0,0
2009,Union,38,21,6,14,0
2009,Warren,9,6,1,2,0
2017,Atlantic,34,21,5,10,0
2017,Bergen,25,13,5,8,1
2017,Burlington,46,31,5,12,0
2017,Camden,40,22,6,15,1
2017,Cape May,15,9,5,2,0
2017,Cumberland,24,16,4,5,1
2017,Essex,39,14,3,22,1
2017,Gloucester,43,25,9,9,1
2017,Hudson,23,6,2,15,3
2017,Hunterdon,8,7,0,1,0
2017,Mercer,26,13,2,11,0
2017,Middlesex,44,26,7,13,2
2017,Monmouth,40,25,6,11,1
2017,Morris,26,16,5,7,1
2017,Ocean,52,28,8,13,4
2017,Passaic,18,9,4,5,0
2017,Salem,15,16,1,0,0
2017,Somerset,22,13,2,7,1
2017,Sussex,7,6,0,1,0
2017,Union,33,17,3,14,0
2017,Warren,11,6,3,2,0
2018,Atlantic,27,17,7,6,0
2018,Bergen,32,9,3,19,1
2018,Burlington,40,22,8,13,1
2018,Camden,42,28,8,7,3
2018,Cape May,10,9,0,1,0
2018,Cumberland,18,14,2,2,1
2018,Essex,43,13,5,25,2
2018,Gloucester,33,19,12,6,1
2018,Hudson,21,3,4,14,1
2018,Hunterdon,3,2,0,1,0
2018,Mercer,28,12,3,12,2
2018,Middlesex,47,26,10,14,0
2018,Monmouth,28,16,3,9,1
2018,Morris,25,15,7,5,1
2018,Ocean,31,18,12,8,1
2018,Passaic,20,11,1,9,0
2018,Salem,7,7,2,0,0
2018,Somerset,23,9,4,9,1
2018,Sussex,12,10,1,1,0
2018,Union,27,10,2,14,1
2018,Warren,7,6,1,0,0
