year,cc,mc,case,n,kind,ids,mc_dots,severities,tks,same_dt,dts,roads
2001,11,14,01-0207,2,distinct,166511|166512,9|10,p|p,0|0,False,2001-01-23 11:38:00|2001-01-05 14:26:00,HARRISON STREET|QUAKER ROAD
2001,11,14,01-1018,2,distinct,166552|166553,9|10,p|p,0|0,False,2001-04-01 00:00:00|2001-01-24 11:36:00,HULEISH GARAGE|LEIGH AVENUE
2001,11,14,01-1183,2,distinct,166609|166610,9|10,p|p,0|0,False,2001-05-03 18:36:00|2001-01-27 22:01:00,RT 27|CUYLER ROAD
2001,11,14,01-1338,2,distinct,166671|166672,9|10,i|i,0|0,False,2001-05-15 17:48:00|2001-01-31 08:28:00,MERCER STREET|WALNUT LANE
2001,11,14,01-1578,2,distinct,166787|166788,9|10,i|p,0|0,False,2001-06-07 09:50:00|2001-02-05 15:46:00,CHAMBERS STREET|QUAKER ROAD
2001,11,14,01-1684,2,distinct,166831|166832,9|10,p|p,0|0,False,2001-06-15 09:43:00|2001-02-06 15:47:00,JEFFERSON ROAD|DERWENT DR
2001,11,14,01-522,2,distinct,167163|167164,9|10,p|p,0|0,False,2001-02-23 19:32:00|2001-01-12 18:22:00,RT 27|RT 206
2001,11,14,01-5601,2,distinct,167172|167173,9|10,p|p,0|0,False,2001-03-03 13:41:00|2001-05-07 09:26:00,WITHERSPOON STREET|CR 571
2002,11,14,02-128,2,distinct,481949|481950,9|10,i|p,0|0,False,2002-01-16 16:47:00|2002-01-03 17:22:00,253 WATERSPOON STREET|GREENBRIER ROW
2002,11,14,02-1593,2,distinct,482120|482121,9|10,i|i,0|0,False,2002-06-05 17:46:00|2002-02-06 13:20:00,RT 27|FACULTY ROAD
2002,11,14,02-1779,2,distinct,482166|482167,9|10,i|p,0|0,False,2002-06-25 15:02:00|2002-02-10 13:06:00,RT 206|86 CASTLE HOWARD CT
2002,11,14,02-1927,2,distinct,482192|482193,9|10,i|i,0|0,False,2002-07-12 14:31:00|2002-02-13 09:16:00,UNIVERSITY PLACE|RT 206
2002,11,14,02-2716,2,distinct,482286|482287,9|10,p|p,0|0,False,2002-10-01 15:42:00|2002-02-27 15:00:00,PARK PLACE EAST PARKING LOT|PRINCETON SHOPPING CENTER
2002,11,14,02-279,2,distinct,482300|482301,9|10,p|p,0|0,False,2002-02-04 07:20:00|2002-01-07 20:00:00,CLEVELAND LANE|JEFFERSON ROAD
2002,11,14,02-2864,2,distinct,482312|482313,9|10,i|p,0|0,False,2002-10-16 17:46:00|2002-03-01 23:08:00,HARRISON STREET|CR 604
2002,11,14,02-3434,2,distinct,482399|482400,9|10,p|p,0|0,False,2002-12-13 16:10:00|2002-03-13 14:59:00,RT 27|WITHERSPOON STREET
2002,11,14,02-3486,2,distinct,482411|482412,9|10,i|p,0|0,False,2002-12-18 12:12:00|2002-03-14 17:04:00,CR 571|RT 206
2002,11,14,02-607,2,distinct,482496|482497,9|10,i|i,0|0,False,2002-03-09 20:14:00|2002-01-15 14:20:00,WITHERSPOON ST|253 WITHERSPOON STREET (PARKING GA?
2003,11,14,03-1018,2,distinct,803216|803217,9|10,p|p,0|0,False,2003-04-19 15:32:00|2003-01-23 15:52:00,UNIVERSITY PLACE|39 MAGNOLIA LANE (LITTLEBROOK SCHO?
2003,11,14,03-10989,2,distinct,803264|803265,9|10,p|p,0|0,False,2003-08-06 14:51:00|2003-09-02 13:49:00,WITHERSPOON ST|US 206
2003,11,14,03-10996,2,distinct,803268|803269,9|10,p|p,0|0,False,2003-08-06 16:20:00|2003-09-02 19:53:00,NJ 27|LEIGH AVENUE
2003,11,14,03-1320,2,distinct,803383|803384,9|10,p|p,0|0,False,2003-05-19 16:15:00|2003-01-31 06:33:00,QUARRY STREET|MERCER ROAD
2003,11,14,03-13492,2,distinct,803401|803402,9|10,p|p,0|0,False,2003-09-08 23:42:00|2003-10-26 11:14:00,FRANKLIN LOT (UMCP EMPLOYEE LOT)|CHERRY VALLEY ROAD
2003,11,14,03-13566,2,distinct,803405|803406,9|10,p|i,0|0,False,2003-09-09 17:12:00|2003-10-27 17:03:00,NJ 27|GREAT ROAD
2003,11,14,03-84,2,distinct,803928|803929,9|10,i|i,0|0,False,2003-01-11 00:27:00|2003-01-02 18:12:00,US 206|VALLEY RD
2004,11,14,04-6940,2,distinct,1126400|1126401,9|10,p|p,0|0,False,2004-04-12 10:25:00|2004-05-22 09:17:00,MERCER ST|WITHERSPOON ST
2004,11,14,04-9313,2,distinct,1126513|1126514,9|10,p|p,0|0,False,2004-05-16 17:15:00|2004-07-16 09:21:00,NJ 27|GREAT RD
2005,11,14,05-11021,2,distinct,1443759|1443760,9|10,i|p,0|0,False,2005-07-26 09:50:00|2005-08-18 10:28:00,NJ 27|HERRONTOWN RD
2005,11,14,05-13562,2,distinct,1443870|1443871,9|10,p|i,0|0,False,2005-09-14 09:58:00|2005-10-07 04:15:00,NJ 27|WALNUT LN
2005,11,14,05-15885,2,distinct,1443986|1443987,9|10,p|i,0|0,False,2005-10-26 07:47:00|2005-11-16 19:08:00,US 206|ROUTE 571
2005,11,14,05-1606,2,distinct,1443998|1443999,9|10,i|i,0|0,False,2005-02-02 10:23:00|2005-02-04 16:56:00,NJ 27|VALLEY ROAD
2005,11,14,05-17466,2,distinct,1444066|1444067,9|10,p|p,0|0,False,2005-11-25 17:30:00|2005-12-15 20:02:00,NJ 27|MERCER COUNTY 629
2005,11,14,05-3319,2,distinct,1444210|1444211,9|10,p|p,0|0,False,2005-03-05 12:30:00|2005-03-10 15:20:00,59 PAUL ROBESON PLACE|741 MT LUCAS RD (PRIVATE PARKING?
2005,11,14,05-343,2,distinct,1444215|1444216,9|10,p|i,0|0,False,2005-01-07 17:11:00|2005-01-08 17:02:00,LIBRARY PLACE|CHERRY VALLEY ROAD
2005,11,14,05-5236,2,distinct,1444281|1444282,9|10,p|p,0|0,False,2005-04-09 07:00:00|2005-04-19 08:14:00,3 RD FLOOR OF CHAMBERS STREET GARAGE|ROSEDALE ROAD
2005,11,14,05-9116,2,distinct,1444440|1444441,9|10,p|p,0|0,False,2005-06-20 18:16:00|2005-07-09 21:00:00,US 206|FACULTY RD
2006,11,14,06-11896,2,distinct,1746213|1746214,9|10,p|p,0|0,False,2006-08-03 19:22:00|2006-08-05 12:04:00,QUARRY ST|FAIRWAY DR
2006,11,14,06-1317,2,distinct,1746263|1746264,9|10,i|p,0|0,False,2006-01-28 14:08:00|2006-01-24 21:22:00,NJ 27|PRINCETON UNIVERSITY LOT 21
2006,11,14,06-19513,2,distinct,1746492|1746493,9|10,p|p,0|0,False,2006-12-14 18:57:00|2006-12-20 14:26:00,PAUL ROBESON PL|253 WITHERSPOON ST
2007,11,14,07-15328,2,distinct,2046331|2046332,9|10,p|i,0|0,False,2007-08-25 16:12:00|2007-10-14 21:26:00,UNIVERSITY PLACE|US 206
