year,county,driver,passenger,cyclist,pedestrian,crashes
2008,Atlantic,17,8,0,6,30
2008,Bergen,10,5,1,7,22
2008,Burlington,23,6,4,12,45
2008,Camden,25,4,0,15,42
2008,Cape May,8,3,0,0,11
2008,Cumberland,15,5,1,2,23
2008,Essex,23,11,1,14,43
2008,Gloucester,14,13,1,5,29
2008,Hudson,13,4,4,6,24
2008,Hunterdon,6,2,0,3,9
2008,Mercer,11,6,1,4,20
2008,Middlesex,28,9,1,8,42
2008,Monmouth,29,9,2,7,45
2008,Morris,15,2,3,6,25
2008,Ocean,20,8,0,10,37
2008,Passaic,9,5,0,11,25
2008,Salem,13,3,0,0,14
2008,Somerset,8,2,0,5,15
2008,Sussex,12,2,0,0,14
2008,Union,17,4,1,16,35
2008,Warren,4,1,0,1,5
2009,Atlantic,22,8,1,12,41
2009,Bergen,14,0,0,12,25
2009,Burlington,27,14,0,7,43
2009,Camden,24,7,2,9,37
2009,Cape May,7,0,0,1,8
2009,Cumberland,21,5,1,1,27
2009,Essex,14,7,0,21,40
2009,Gloucester,14,4,1,3,22
2009,Hudson,7,3,0,12,22
2009,Hunterdon,5,1,0,2,8
2009,Mercer,11,4,0,7,21
2009,Middlesex,19,10,1,18,44
2009,Monmouth,18,2,3,11,34
2009,Morris,12,3,0,3,18
2009,Ocean,32,12,4,15,57
2009,Passaic,16,5,0,5,23
2009,Salem,11,1,1,1,13
2009,Somerset,9,3,0,1,13
2009,Sussex,5,2,0,0,7
2009,Union,21,6,0,14,38
2009,Warren,6,1,0,2,9
2010,Atlantic,10,7,1,6,22
2010,Bergen,17,5,0,15,36
2010,Burlington,22,7,0,5,33
2010,Camden,17,11,3,10,37
2010,Cape May,4,1,0,0,4
2010,Cumberland,16,5,0,2,22
2010,Essex,16,7,0,18,40
2010,Gloucester,7,4,2,6,19
2010,Hudson,6,4,1,14,24
2010,Hunterdon,8,2,1,1,12
2010,Mercer,11,4,1,4,18
2010,Middlesex,20,5,1,11,37
2010,Monmouth,25,8,1,11,43
2010,Morris,14,3,0,8,23
2010,Ocean,40,5,1,8,53
2010,Passaic,10,4,0,8,22
2010,Salem,8,4,0,0,10
2010,Somerset,19,6,1,3,27
2010,Sussex,11,0,0,0,11
2010,Union,16,3,0,10,28
2010,Warren,6,4,0,1,9
2011,Atlantic,22,16,1,9,41
2011,Bergen,13,3,1,14,30
2011,Burlington,33,13,1,5,50
2011,Camden,30,6,1,12,46
2011,Cape May,6,3,0,0,8
2011,Cumberland,17,3,0,4,22
2011,Essex,26,8,0,18,50
2011,Gloucester,20,4,1,1,24
2011,Hudson,9,4,1,11,25
2011,Hunterdon,6,2,1,1,10
2011,Mercer,13,0,1,8,22
2011,Middlesex,35,6,0,13,52
2011,Monmouth,21,7,2,4,31
2011,Morris,21,1,0,2,24
2011,Ocean,24,9,3,16,47
2011,Passaic,12,4,1,11,27
2011,Salem,10,4,0,2,12
2011,Somerset,12,3,2,2,17
2011,Sussex,7,3,0,1,11
2011,Union,12,4,1,9,24
2011,Warren,13,2,0,0,13
2012,Atlantic,16,8,1,7,31
2012,Bergen,17,6,0,10,31
2012,Burlington,28,14,0,11,47
2012,Camden,15,4,1,6,25
2012,Cape May,5,1,0,5,10
2012,Cumberland,9,2,1,6,17
2012,Essex,9,8,2,22,40
2012,Gloucester,15,4,0,4,22
2012,Hudson,12,3,1,9,23
2012,Hunterdon,2,2,1,1,5
2012,Mercer,11,0,1,11,23
2012,Middlesex,32,13,1,19,60
2012,Monmouth,23,3,0,10,34
2012,Morris,18,8,0,4,27
2012,Ocean,33,6,4,10,50
2012,Passaic,16,5,0,10,30
2012,Salem,7,1,0,1,8
2012,Somerset,9,5,0,4,16
2012,Sussex,11,2,0,2,14
2012,Union,13,4,1,10,28
2012,Warren,8,4,0,1,12
2013,Atlantic,31,6,1,4,40
2013,Bergen,9,6,1,21,36
2013,Burlington,24,5,1,5,35
2013,Camden,13,6,1,11,29
2013,Cape May,4,1,0,0,5
2013,Cumberland,15,4,0,5,24
2013,Essex,18,8,1,13,37
2013,Gloucester,16,3,0,7,26
2013,Hudson,6,2,2,6,14
2013,Hunterdon,6,2,0,1,7
2013,Mercer,13,14,1,8,28
2013,Middlesex,30,6,1,15,50
2013,Monmouth,17,5,0,5,26
2013,Morris,13,6,1,5,23
2013,Ocean,32,9,0,8,43
2013,Passaic,18,0,1,8,26
2013,Salem,7,0,2,0,8
2013,Somerset,12,4,1,2,19
2013,Sussex,5,0,0,1,6
2013,Union,10,1,0,7,18
2013,Warren,5,4,0,0,8
2014,Atlantic,19,11,0,11,37
2014,Bergen,12,2,1,24,37
2014,Burlington,17,1,0,13,31
2014,Camden,17,4,0,17,38
2014,Cape May,8,3,0,1,11
2014,Cumberland,13,2,0,3,17
2014,Essex,14,8,1,17,33
2014,Gloucester,21,2,1,7,30
2014,Hudson,7,9,1,7,22
