year,county,cc,mc,month,driver,passenger,cyclist,pedestrian,fatalities
2001,Atlantic,1,1.0,12,0,1,0,0,1
2001,Atlantic,1,2.0,4,0,0,0,1,1
2001,Atlantic,1,2.0,5,0,0,0,2,2
2001,Atlantic,1,2.0,7,0,1,0,0,1
2001,Atlantic,1,2.0,12,1,0,0,0,1
2001,Atlantic,1,4.0,5,1,0,0,0,1
2001,Atlantic,1,4.0,6,1,1,0,0,2
2001,Atlantic,1,4.0,10,1,0,0,0,1
2001,Atlantic,1,5.0,6,1,0,0,0,1
2001,Atlantic,1,5.0,7,1,0,0,0,1
2001,Atlantic,1,5.0,11,1,1,0,0,2
2001,Atlantic,1,6.0,9,1,0,0,0,1
2001,Atlantic,1,7.0,6,0,0,0,1,1
2001,Atlantic,1,8.0,1,0,0,0,1,1
2001,Atlantic,1,8.0,2,1,0,0,0,1
2001,Atlantic,1,8.0,5,2,0,0,0,2
2001,Atlantic,1,8.0,7,1,0,0,0,1
2001,Atlantic,1,8.0,8,2,0,0,0,2
2001,Atlantic,1,8.0,10,1,0,1,0,2
2001,Atlantic,1,8.0,12,1,0,0,0,1
2001,Atlantic,1,9.0,4,1,0,0,0,1
2001,Atlantic,1,9.0,5,1,0,0,0,1
2001,Atlantic,1,9.0,9,1,0,0,0,1
2001,Atlantic,1,10.0,8,0,0,0,1,1
2001,Atlantic,1,11.0,5,0,1,0,1,2
2001,Atlantic,1,11.0,6,0,1,0,0,1
2001,Atlantic,1,11.0,7,0,1,0,0,1
2001,Atlantic,1,11.0,9,2,0,0,0,2
2001,Atlantic,1,11.0,10,0,0,1,0,1
2001,Atlantic,1,11.0,11,1,1,0,1,3
2001,Atlantic,1,11.0,12,2,2,0,1,5
2001,Atlantic,1,12.0,2,1,1,0,0,2
2001,Atlantic,1,12.0,5,0,0,0,1,1
2001,Atlantic,1,12.0,6,2,1,0,0,3
2001,Atlantic,1,13.0,3,1,0,0,0,1
2001,Atlantic,1,13.0,5,1,0,1,0,2
2001,Atlantic,1,13.0,6,1,0,0,0,1
2001,Atlantic,1,13.0,7,1,0,0,0,1
2001,Atlantic,1,13.0,10,0,0,0,1,1
2001,Atlantic,1,14.0,6,0,0,1,0,1
2001,Atlantic,1,17.0,1,0,0,0,1,1
2001,Atlantic,1,17.0,2,3,0,0,0,3
2001,Atlantic,1,17.0,3,0,0,0,1,1
2001,Atlantic,1,17.0,9,1,0,0,0,1
2001,Atlantic,1,17.0,12,1,0,0,0,1
2001,Atlantic,1,19.0,6,0,0,0,1,1
2001,Atlantic,1,19.0,7,1,0,0,0,1
2001,Atlantic,1,20.0,2,1,0,0,0,1
2001,Atlantic,1,22.0,2,0,1,0,0,1
2001,Bergen,2,2.0,4,0,1,0,0,1
2001,Bergen,2,5.0,5,0,0,0,1,1
2001,Bergen,2,9.0,7,1,0,0,0,1
2001,Bergen,2,11.0,3,1,0,0,0,1
2001,Bergen,2,11.0,8,0,0,0,1,1
2001,Bergen,2,19.0,3,1,0,0,0,1
2001,Bergen,2,23.0,7,1,0,0,0,1
2001,Bergen,2,31.0,11,2,0,0,0,2
2001,Bergen,2,32.0,6,1,0,0,0,1
2001,Bergen,2,32.0,11,1,0,0,0,1
2001,Bergen,2,38.0,1,0,1,0,0,1
2001,Bergen,2,42.0,10,1,0,0,0,1
2001,Bergen,2,45.0,2,1,0,0,0,1
2001,Bergen,2,46.0,3,0,0,0,2,2
2001,Bergen,2,46.0,7,0,0,0,1,1
2001,Bergen,2,48.0,9,1,0,0,0,1
2001,Bergen,2,48.0,11,0,0,0,1,1
2001,Bergen,2,49.0,2,0,0,0,1,1
2001,Bergen,2,54.0,2,0,0,0,1,1
2001,Bergen,2,54.0,7,0,0,0,1,1
2001,Bergen,2,56.0,7,1,0,0,0,1
2001,Bergen,2,56.0,10,0,1,0,0,1
2001,Bergen,2,57.0,4,0,0,0,1,1
2001,Bergen,2,58.0,12,1,0,0,0,1
2001,Bergen,2,60.0,7,2,0,0,0,2
2001,Bergen,2,65.0,11,0,0,0,1,1
2001,Bergen,2,70.0,11,0,0,0,1,1
2001,Burlington,3,1.0,1,1,0,0,0,1
2001,Burlington,3,1.0,5,1,0,0,0,1
2001,Burlington,3,4.0,3,1,0,0,0,1
2001,Burlington,3,4.0,10,1,1,0,0,2
2001,Burlington,3,6.0,5,0,0,1,0,1
2001,Burlington,3,7.0,3,1,0,0,0,1
2001,Burlington,3,8.0,3,0,0,0,1,1
2001,Burlington,3,8.0,4,1,0,0,0,1
2001,Burlington,3,11.0,4,2,0,0,0,2
2001,Burlington,3,11.0,7,1,1,0,0,2
2001,Burlington,3,13.0,7,1,0,0,0,1
2001,Burlington,3,13.0,10,0,0,1,0,1
2001,Burlington,3,13.0,11,0,1,0,0,1
2001,Burlington,3,15.0,12,2,1,0,0,3
2001,Burlington,3,17.0,6,1,0,0,0,1
2001,Burlington,3,17.0,9,0,0,0,1,1
2001,Burlington,3,17.0,11,1,0,0,0,1
2001,Burlington,3,19.0,2,0,1,0,0,1
2001,Burlington,3,19.0,7,1,0,1,0,2
2001,Burlington,3,19.0,8,0,0,0,1,1
2001,Burlington,3,20.0,6,0,1,0,0,1
2001,Burlington,3,24.0,1,1,0,0,0,1
2001,Burlington,3,24.0,2,1,1,0,0,2
2001,Burlington,3,24.0,8,0,1,0,1,2
2001,Burlington,3,24.0,11,2,0,0,0,2
2001,Burlington,3,24.0,12,1,0,0,0,1
2001,Burlington,3,29.0,1,1,0,0,0,1
2001,Burlington,3,29.0,2,0,0,0,1,1
2001,Burlington,3,29.0,8,1,0,0,0,1
2001,Burlington,3,29.0,9,1,0,0,0,1
2001,Burlington,3,29.0,11,0,1,0,0,1
2001,Burlington,3,33.0,2,1,0,0,0,1
2001,Burlington,3,33.0,6,0,1,0,0,1
2001,Burlington,3,33.0,10,2,1,0,0,3
2001,Burlington,3,34.0,6,1,0,0,0,1
2001,Burlington,3,34.0,10,1,0,0,0,1
2001,Burlington,3,35.0,3,1,2,0,0,3
2001,Burlington,3,35.0,7,1,1,0,0,2
2001,Burlington,3,35.0,12,1,0,0,0,1
2001,Burlington,3,37.0,1,1,0,0,0,1
2001,Burlington,3,38.0,2,1,0,0,0,1
2001,Burlington,3,39.0,3,0,0,0,1,1
2001,Burlington,3,39.0,5,1,0,0,0,1
2001,Camden,4,4.0,6,1,0,0,0,1
2001,Camden,4,4.0,12,0,1,0,0,1
2001,Camden,4,5.0,5,1,0,0,0,1
2001,Camden,4,6.0,2,1,0,0,0,1
2001,Camden,4,8.0,3,2,1,0,0,3
2001,Camden,4,8.0,4,1,0,0,0,1
2001,Camden,4,8.0,6,1,0,0,0,1
2001,Camden,4,8.0,8,1,0,0,0,1
2001,Camden,4,8.0,9,0,0,0,1,1
2001,Camden,4,9.0,1,1,0,0,0,1
2001,Camden,4,9.0,2,1,0,0,0,1
2001,Camden,4,9.0,3,1,0,0,0,1
2001,Camden,4,9.0,4,1,0,0,0,1
2001,Camden,4,9.0,5,1,1,0,0,2
2001,Camden,4,9.0,7,2,0,0,0,2
2001,Camden,4,9.0,10,0,1,0,0,1
2001,Camden,4,9.0,11,0,1,0,0,1
2001,Camden,4,14.0,9,1,0,0,0,1
2001,Camden,4,15.0,3,1,0,0,0,1
2001,Camden,4,15.0,5,0,0,0,1,1
2001,Camden,4,15.0,6,1,0,0,0,1
2001,Camden,4,15.0,7,0,1,0,0,1
2001,Camden,4,17.0,3,1,0,0,0,1
2001,Camden,4,17.0,11,1,0,0,0,1
2001,Camden,4,21.0,10,1,0,0,0,1
2001,Camden,4,22.0,11,0,0,0,1,1
2001,Camden,4,27.0,6,0,0,1,0,1
2001,Camden,4,27.0,12,0,0,1,0,1
2001,Camden,4,34.0,3,1,0,0,0,1
2001,Camden,4,34.0,10,0,0,0,1,1
2001,Camden,4,35.0,3,0,0,0,1,1
2001,Camden,4,36.0,2,1,0,0,0,1
2001,Camden,4,36.0,3,0,1,0,0,1
2001,Camden,4,36.0,5,2,0,0,0,2
2001,Camden,4,36.0,8,1,0,0,0,1
2001,Camden,4,36.0,9,1,1,0,0,2
2001,Camden,4,36.0,12,0,1,0,0,1
2001,Cape May,5,4.0,6,1,0,0,0,1
2001,Cape May,5,6.0,4,1,0,0,0,1
2001,Cape May,5,6.0,9,0,1,0,0,1
2001,Cape May,5,6.0,11,1,0,0,0,1
2001,Cape May,5,9.0,5,0,0,1,0,1
2001,Cape May,5,11.0,1,1,0,0,0,1
2001,Cape May,5,11.0,3,1,0,0,0,1
2001,Cape May,5,11.0,5,1,0,0,0,1
2001,Cape May,5,11.0,7,1,0,0,0,1
2001,Cape May,5,11.0,8,1,0,0,0,1
2001,Cape May,5,11.0,12,1,0,0,0,1
2001,Cape May,5,16.0,3,1,0,0,0,1
2001,Cape May,5,,8,0,0,0,1,1
2001,Cumberland,6,1.0,10,0,1,0,0,1
2001,Cumberland,6,2.0,6,0,2,0,0,2
2001,Cumberland,6,3.0,1,1,0,0,0,1
2001,Cumberland,6,3.0,4,0,0,0,1,1
2001,Cumberland,6,3.0,5,1,1,0,0,2
2001,Cumberland,6,4.0,12,0,0,0,1,1
2001,Cumberland,6,5.0,8,1,0,0,0,1
2001,Cumberland,6,5.0,10,1,0,0,0,1
2001,Cumberland,6,8.0,5,1,0,0,0,1
2001,Cumberland,6,8.0,6,1,0,0,0,1
2001,Cumberland,6,10.0,9,2,1,0,0,3
2001,Cumberland,6,10.0,12,0,0,0,1,1
2001,Cumberland,6,13.0,2,1,0,0,0,1
