year,county,cc,mc,month,municipality,date,persons_killed,driver,passenger,cyclist,pedestrian
2001,Sussex,19,11.0,1,HARDYSTON TWP,01/01/2001,.8 1 PASSENGER,0,1,0,0
2001,Salem,17,11.0,1,PITTSGROVE TWP,01/02/2001,.0 1 PEDESTRIAN,0,0,0,1
2001,Burlington,3,29.0,1,PEMBERTON TWP,01/03/2001,.0 1 DRIVER,1,0,0,0
2001,Cumberland,6,3.0,1,DEERFIELD TWP,01/03/2001,.4 1 DRIVER,1,0,0,0
2001,Middlesex,12,25.0,1,WOODBRIDGE TWP,01/03/2001,.3 1 DRIVER,1,0,0,0
2001,Gloucester,8,9.0,1,LOGAN TWP,01/05/2001,.0 1 DRIVER,1,0,0,0
2001,Morris,14,6.0,1,CHESTER BORO,01/06/2001,.1 1 DRIVER,1,0,0,0
2001,Salem,17,,1,L ALLOWAYS CRK TWP,01/06/2001,.0 1 DRIVER,1,0,0,0
2001,Union,20,4.0,1,ELIZABETH CITY,01/06/2001,.0 1 PEDESTRIAN,0,0,0,1
2001,Mercer,11,11.0,1,TRENTON CITY,01/07/2001,.2 1 PEDESTRIAN,0,0,0,1
2001,Cape May,5,11.0,1,UPPER TWP,01/08/2001,.0 1 DRIVER,1,0,0,0
2001,Morris,14,27.0,1,MOUNT OLIVE TWP,01/08/2001,.1 1 DRIVER,1,0,0,0
2001,Burlington,3,24.0,1,MOUNT LAUREL TWP,01/10/2001,.1 1 DRIVER,1,0,0,0
2001,Camden,4,9.0,1,CHERRY HILL TWP,01/11/2001,.3 1 DRIVER,1,0,0,0
2001,Mercer,11,3.0,1,HAMILTON TWP,01/11/2001,.1 1 DRIVER,1,0,0,0
2001,Essex,7,17.0,1,ORANGE CITY,01/12/2001,.0 1 DRIVER,1,0,0,0
2001,Ocean,15,15.0,1,LAKEWOOD TWP,01/12/2001,.3 1 DRIVER,1,0,0,0
2001,Mercer,11,6.0,1,HOPEWELL TWP,01/13/2001,.0 1 PASSENGER,0,1,0,0
2001,Monmouth,13,31.0,1,MATAWAN BORO,01/13/2001,.2 1 DRIVER,1,0,0,0
2001,Morris,14,36.0,1,ROXBURY TWP,01/14/2001,".0 1 DRIVER,1 PASSENGER",1,1,0,0
2001,Bergen,2,38.0,1,NEW MILFORD BORO,01/15/2001,.0 1 PASSENGER,0,1,0,0
2001,Essex,7,17.0,1,ORANGE CITY,01/16/2001,.0 1 PEDESTRIAN,0,0,0,1
2001,Monmouth,13,21.0,1,HOWELL TWP,01/17/2001,.0 1 DRIVER,1,0,0,0
2001,Morris,14,10.0,1,EAST HANOVER TWP,01/18/2001,.0 1 PEDESTRIAN,0,0,0,1
2001,Morris,14,29.0,1,PARSIPPANY-TROY HILL,01/18/2001,.0 1 DRIVER,1,0,0,0
2001,Passaic,16,8.0,1,PATERSON CITY,01/18/2001,.0 1 DRIVER,1,0,0,0
2001,Burlington,3,37.0,1,WESTAMPTON TWP,01/19/2001,.8 1 DRIVER,1,0,0,0
2001,Ocean,15,13.0,1,LACEY TWP,01/19/2001,.3 1 PASSENGER,0,1,0,0
2001,Sussex,19,17.0,1,SANDYSTON TWP,01/19/2001,.7 1 PASSENGER,0,1,0,0
2001,Atlantic,1,8.0,1,EGG HARBOR TWP,01/20/2001,.0 1 PEDESTRIAN,0,0,0,1
2001,Burlington,3,1.0,1,BASS RIVER TWP,01/20/2001,.8 1 DRIVER,1,0,0,0
2001,Essex,7,14.0,1,NEWARK CITY,01/20/2001,.0 1 DRIVER,1,0,0,0
2001,Mercer,11,3.0,1,HAMILTON TWP,01/20/2001,.0 1 DRIVER,1,0,0,0
2001,Monmouth,13,18.0,1,HAZLET TWP,01/20/2001,.0 1 PEDESTRIAN,0,0,0,1
2001,Atlantic,1,17.0,1,MULLICA TWP,01/25/2001,.2 1 PEDESTRIAN,0,0,0,1
2001,Passaic,16,2.0,1,CLIFTON CITY,01/26/2001,.0 1 DRIVER,1,0,0,0
2001,Essex,7,14.0,1,NEWARK CITY,01/28/2001,.7 1 PASSENGER,0,1,0,0
2001,Hudson,9,6.0,1,JERSEY CITY,01/28/2001,.5 1 PASSENGER,0,1,0,0
2001,Hudson,9,8.0,1,NORTH BERGEN TWP,01/28/2001,.0 1 DRIVER,1,0,0,0
2001,Hudson,9,8.0,1,NORTH BERGEN TWP,01/28/2001,.0 1 PEDESTRIAN,0,0,0,1
2001,Monmouth,13,37.0,1,OCEAN TWP,01/28/2001,.0 1 DRIVER,1,0,0,0
2001,Union,20,4.0,1,ELIZABETH CITY,01/28/2001,.0 1 PEDESTRIAN,0,0,0,1
2001,Essex,7,10.0,1,LIVINGSTON TWP,01/30/2001,.0 1 PASSENGER,0,1,0,0
2001,Essex,7,12.0,1,MILLBURN TWP,01/31/2001,.0 1 PEDALCYCLE,0,0,1,0
2001,Monmouth,13,21.0,1,HOWELL TWP,01/31/2001,.0 1 DRIVER,1,0,0,0
2001,Union,20,9.0,1,LINDEN CITY,01/31/2001,.3 1 DRIVER,1,0,0,0
2001,Gloucester,8,5.0,2,FRANKLIN TWP,02/01/2001,.0 1 DRIVER,1,0,0,0
2001,Mercer,11,13.0,2,WEST WINDSOR TWP,02/03/2001,.0 1 DRIVER,1,0,0,0
2001,Burlington,3,24.0,2,MOUNT LAUREL TWP,02/04/2001,.3 1 PASSENGER,0,1,0,0
2001,Gloucester,8,11.0,2,MONROE TWP,02/04/2001,.0 1 DRIVER,1,0,0,0
2001,Atlantic,1,8.0,2,EGGHARBOR TWP,02/05/2001,.5 1 DRIVER,1,0,0,0
2001,Bergen,2,45.0,2,PALISADES PARK BORO,02/05/2001,.4 1 DRIVER,1,0,0,0
2001,Monmouth,13,49.0,2,TINTON FALLS BORO,02/05/2001,.2 1 DRIVER,1,0,0,0
2001,Burlington,3,33.0,2,SOUTHAMPTON TWP,02/08/2001,.9 1 DRIVER,1,0,0,0
2001,Burlington,3,19.0,2,MAPLE SHADE TWP,02/09/2001,.1 1 PASSENGER,0,1,0,0
2001,Middlesex,12,15.0,2,OLD BRIDGE TWP,02/09/2001,.0 1 DRIVER,1,0,0,0
2001,Cumberland,6,13.0,2,UPPER DEERFIELD TWP,02/10/2001,.0 1 DRIVER,1,0,0,0
2001,Morris,14,9.0,2,DOVER TOWN,02/10/2001,.0 1 PEDESTRIAN,0,0,0,1
2001,Ocean,15,,2,DOVER TWP,02/10/2001,.3 1 PEDESTRIAN,0,0,0,1
2001,Middlesex,12,25.0,2,WOODBRIDGE TWP,02/11/2001,.4 1 PEDESTRIAN,0,0,0,1
2001,Union,20,19.0,2,UNION TWP,02/11/2001,.1 1 DRIVER,1,0,0,0
2001,Monmouth,13,21.0,2,HOWELL TWP,02/12/2001,.0 2 DRIVER,2,0,0,0
2001,Atlantic,1,17.0,2,MULLICA TWP,02/13/2001,.7 1 DRIVER,1,0,0,0
2001,Atlantic,1,17.0,2,MULLICA TWP,02/13/2001,.4 1 DRIVER,1,0,0,0
2001,Ocean,15,19.0,2,MANCHESTER TWP,02/13/2001,.2 1 PASSENGER,0,1,0,0
2001,Morris,14,14.0,2,JEFFERSON TWP,02/14/2001,.0 1 PASSENGER,0,1,0,0
2001,Atlantic,1,12.0,2,HAMILTON TWP,02/15/2001,".7 1 DRIVER,1 PASSENGER",1,1,0,0
2001,Atlantic,1,22.0,2,VENTNOR CITY,02/15/2001,.0 1 PASSENGER,0,1,0,0
2001,Gloucester,8,6.0,2,GLASSBORO BORO,02/15/2001,.0 1 DRIVER,1,0,0,0
2001,Mercer,11,2.0,2,EWING TWP,02/16/2001,.0 1 PASSENGER,0,1,0,0
2001,Burlington,3,24.0,2,MOUNT LAUREL TWP,02/17/2001,.7 1 DRIVER,1,0,0,0
2001,Camden,4,9.0,2,CHERRY HILL TWP,02/17/2001,.1 1 DRIVER,1,0,0,0
2001,Camden,4,36.0,2,WINSLOW TWP,02/17/2001,.7 1 DRIVER,1,0,0,0
2001,Monmouth,13,27.0,2,LONG BRANCH CITY,02/17/2001,.0 1 DRIVER,1,0,0,0
2001,Passaic,16,8.0,2,PATERSON CITY,02/17/2001,.8 1 DRIVER,1,0,0,0
2001,Union,20,3.0,2,CRANFORD TWP,02/17/2001,.5 1 PEDESTRIAN,0,0,0,1
2001,Union,20,9.0,2,LINDEN CITY,02/17/2001,.4 1 PEDALCYCLE,0,0,1,0
2001,Bergen,2,49.0,2,RIDGEFIELD BORO,02/18/2001,1.8 1PEDESTRIAN,0,0,0,1
2001,Middlesex,12,5.0,2,EDISON TWP,02/18/2001,.7 1 PASSENGER,0,1,0,0
2001,Passaic,16,14.0,2,WAYNE TWP,02/18/2001,.5 1 DRIVER,1,0,0,0
2001,Somerset,18,10.0,2,HILLSBOROUGH TWP,02/18/2001,.0 1 DRIVER,1,0,0,0
2001,Warren,21,19.0,2,PHILLIPSBURG TWP,02/18/2001,.6 1 PASSENGER,0,1,0,0
2001,Burlington,3,29.0,2,PEMBERTON TWP,02/19/2001,.0 1 PEDESTRIAN,0,0,0,1
2001,Burlington,3,38.0,2,WILLINGBORO TWP,02/22/2001,.0 1 DRIVER,1,0,0,0
2001,Camden,4,6.0,2,BERLIN TWP,02/22/2001,.2 1 DRIVER,1,0,0,0
2001,Essex,7,14.0,2,NEWARK CITY,02/22/2001,".0 1 DRIVER,1 PASSENGER",1,1,0,0
2001,Gloucester,8,2.0,2,DEPTFORD TWP,02/22/2001,.5 1 DRIVER,1,0,0,0
2001,Salem,17,2.0,2,CARNEYS POINT TWP,02/22/2001,.4 1 PEDEDESTRIAN,0,0,0,1
2001,Gloucester,8,16.0,2,SOUTH HARRISON TWP,02/23/2001,.0 1 PASSENGER,0,1,0,0
2001,Atlantic,1,17.0,2,MULLICA TWP,02/24/2001,.9 1 DRIVER,1,0,0,0
2001,Atlantic,1,20.0,2,PORT REPUBLIC CITY,02/24/2001,.8 1 DRIVER,1,0,0,0
2001,Sussex,19,11.0,2,HARDYSTON TWP,02/24/2001,.0 1 PASSENGER,0,1,0,0
2001,Monmouth,13,52.0,2,WALL TWP,02/25/2001,.0 1 DRIVER,1,0,0,0
2001,Morris,14,21.0,2,MONTVILLE TWP,02/25/2001,.2 1 PEDALCYCLE,0,0,1,0
2001,Gloucester,8,16.0,2,SOUTH HARRISON TWP,02/26/2001,".0 1 DRIVER,1 PASSENGER",1,1,0,0
2001,Ocean,15,24.0,2,PLUMSTED TWP,02/26/2001,.0 1 DRIVER,1,0,0,0
2001,Bergen,2,54.0,2,ROCHELLE PARK TWP,02/28/2001,0.0 1PEDESTRIAN,0,0,0,1
2001,Morris,14,23.0,2,MORRIS PLAINS BORO,02/28/2001,.4 1 DRIVER,1,0,0,0
2001,Ocean,15,5.0,2,BEACHWOOD BORO,02/28/2001,.0 1 DRIVER,1,0,0,0
2001,Atlantic,1,17.0,3,MULLICA TWP,03/01/2001,.0 1 PEDESTRIAN,0,0,0,1
2001,Middlesex,12,19.0,3,SAYREVILLE BORO,03/01/2001,.0 1 DRIVER,1,0,0,0
2001,Burlington,3,7.0,3,CHESTERFIELD TWP,03/02/2001,.1 1 DRIVER,1,0,0,0
2001,Burlington,3,35.0,3,TABERNACLE TWP,03/02/2001,".2 1 DRIVER,2 PASSENGERS",1,2,0,0
2001,Camden,4,17.0,3,HADDONFIELD BORO,03/02/2001,.0 1 DRIVER,1,0,0,0
2001,Essex,7,16.0,3,NUTLEY TOWN,03/02/2001,.0 1 DRIVER,1,0,0,0
2001,Atlantic,1,13.0,3,HAMMONTON TOWN,03/03/2001,.0 1 DRIVER,1,0,0,0
2001,Passaic,16,2.0,3,CLIFTON CITY,03/03/2001,.4 1 DRIVER,1,0,0,0
2001,Camden,4,36.0,3,WINSLOW TWP,03/04/2001,.0 1 PASSENGER,0,1,0,0
2001,Cumberland,6,13.0,3,UPPER DEERFIELD TWP,03/04/2001,".0 1 DRIVER,1 PASSENGER",1,1,0,0
2001,Burlington,3,8.0,3,CINNAMINSON TWP,03/05/2001,.0 1 PEDESTRIAN,0,0,0,1
2001,Essex,7,12.0,3,MILLBURN TWP,03/05/2001,.0 1 PASSENGER,0,1,0,0
2001,Hudson,9,1.0,3,BAYONNE CITY,03/07/2001,.1 1 DRIVER,1,0,0,0
2001,Monmouth,13,49.0,3,TINTON FALLS BORO,03/08/2001,.4 2 DRIVERS,2,0,0,0
2001,Morris,14,11.0,3,FLORHAM PARK BORO,03/09/2001,.0 1 DRIVER,1,0,0,0
2001,Bergen,2,11.0,3,ELMWOOD PARK BORO,03/10/2001,.0 1 DRIVER,1,0,0,0
2001,Morris,14,29.0,3,PARSIPPANY-TROY HILL,03/10/2001,.6 1 DRIVER,1,0,0,0
2001,Camden,4,15.0,3,GLOUCESTER TWP,03/11/2001,.9 1 DRIVER,1,0,0,0
2001,Middlesex,12,2.0,3,CRANBURY TWP,03/11/2001,.3 1 PASSENGER,0,1,0,0
2001,Somerset,18,10.0,3,HILLSBOROUGH TWP,03/11/2001,.0 1 DRIVER,1,0,0,0
2001,Somerset,18,1.0,3,BEDMINSTER TWP,03/12/2001,.2 1 DRIVER,1,0,0,0
2001,Cape May,5,16.0,3,WOODBINE BORO,03/13/2001,.0 1 DRIVER,1,0,0,0
2001,Gloucester,8,10.0,3,MANTUA TWP,03/13/2001,.0 1 DRIVER,1,0,0,0
2001,Hunterdon,10,6.0,3,CLINTON TWP,03/13/2001,.2 1 DRIVER,1,0,0,0
2001,Camden,4,35.0,3,WATERFORD TWP,03/14/2001,.6 1 PEDESTRIAN,0,0,0,1
2001,Union,20,3.0,3,CRANFORD TWP,03/14/2001,.8 1 DRIVER,1,0,0,0
2001,Burlington,3,4.0,3,BORDENTOWN TWP,03/15/2001,.1 1 DRIVER,1,0,0,0
2001,Middlesex,12,25.0,3,WOODBRIDGE TWP,03/15/2001,.8 1 DRIVER,1,0,0,0
2001,Morris,14,29.0,3,PARSIPPANY-TROY HILL,03/15/2001,.0 1 DRIVER,1,0,0,0
2001,Bergen,2,19.0,3,FORT LEE BORO,03/16/2001,.8 1 DRIVER,1,0,0,0
2001,Ocean,15,15.0,3,LAKEWOOD TWP,03/16/2001,.0 1 PEDESTRIAN,0,0,0,1
2001,Essex,7,5.0,3,EAST ORANGE CITY,03/17/2001,.0 1 PEDESTRIAN,0,0,0,1
2001,Essex,7,14.0,3,NEWARK CITY,03/17/2001,.0 1 DRIVER,1,0,0,0
2001,Hudson,9,8.0,3,NORTH BERGEN TWP,03/17/2001,.0 1 PEDESTRIAN,0,0,0,1
2001,Passaic,16,7.0,3,PASSAIC CITY,03/17/2001,.0 1 PEDESTRIAN,0,0,0,1
2001,Passaic,16,8.0,3,PATERSON CITY,03/17/2001,.8 1 PEDESTRIAN,0,0,0,1
2001,Bergen,2,46.0,3,PARAMUS BORO,03/18/2001,3.5 1PEDESTRIAN,0,0,0,1
2001,Ocean,15,12.0,3,JACKSON TWP,03/18/2001,".0 1 DRIVER,2 PASSENGERS",1,2,0,0
2001,Union,20,4.0,3,ELIZABETH CITY,03/18/2001,.0 1 PEDESTRIAN,0,0,0,1
2001,Cape May,5,11.0,3,UPPER TWP,03/20/2001,.8 1 DRIVER,1,0,0,0
2001,Bergen,2,46.0,3,PARAMUS BORO,03/21/2001,0.0 1PEDESTRIAN,0,0,0,1
2001,Camden,4,9.0,3,CHERRY HILL TWP,03/21/2001,.0 1 DRIVER,1,0,0,0
2001,Essex,7,5.0,3,EAST ORANGE CITY,03/21/2001,.0 1 PEDESTRIAN,0,0,0,1
2001,Camden,4,34.0,3,VOORHEES TWP,03/22/2001,.0 1 DRIVER,1,0,0,0
2001,Burlington,3,39.0,3,WOODLAND TWP,03/23/2001,.1 1 PEDESTRIAN,0,0,0,1
2001,Gloucester,8,24.0,3,WOOLWICH TWP,03/23/2001,.0 1 DRIVER,1,0,0,0
2001,Morris,14,27.0,3,MOUNT OLIVE TWP,03/23/2001,.4 1 DRIVER,1,0,0,0
2001,Camden,4,8.0,3,CAMDEN CITY,03/24/2001,".0 2 DRIVERS,1 PASSENGER",2,1,0,0
2001,Sussex,19,15.0,3,NEWTON TOWN,03/24/2001,.0 1 DRIVER,1,0,0,0
2001,Essex,7,14.0,3,NEWARK CITY,03/25/2001,.0 1 PASSENGER,0,1,0,0
2001,Ocean,15,5.0,3,BEACHWOOD BORO,03/25/2001,.0 1 DRIVER,1,0,0,0
2001,Hudson,9,6.0,3,JERSEY CITY,03/28/2001,.2 1 DRIVER,1,0,0,0
2001,Somerset,18,8.0,3,FRANKLIN TWP,03/30/2001,.0 1 PEDESTRIAN,0,0,0,1
2001,Mercer,11,6.0,3,HOPEWELL TWP,03/31/2001,.0 1 PASSENGER,0,1,0,0
2001,Middlesex,12,5.0,4,EDISON TWP,04/01/2001,.1 1 DRIVER,1,0,0,0
2001,Ocean,15,7.0,4,BRICK TWP,04/01/2001,.0 1 DRIVER,1,0,0,0
2001,Union,20,12.0,4,PLAINFIELD CITY,04/01/2001,.0 1 PEDESTRIAN,0,0,0,1
