county,cc,mc,date,year,month,fatalities,driver,passenger,pedestrian,cyclist,avg_12mo
,,,2001-01-01,2001,1,46,26,9,10,1,46.0
,,,2001-02-01,2001,2,56,34,13,7,2,51.0
,,,2001-03-01,2001,3,62,37,11,14,0,54.7
,,,2001-04-01,2001,4,38,23,6,6,3,50.5
,,,2001-05-01,2001,5,63,35,13,10,5,53.0
,,,2001-06-01,2001,6,66,30,21,9,6,55.2
,,,2001-07-01,2001,7,64,42,16,5,1,56.4
,,,2001-08-01,2001,8,59,33,15,10,1,56.8
,,,2001-09-01,2001,9,60,39,11,8,2,57.1
,,,2001-10-01,2001,10,55,27,12,13,3,56.9
,,,2001-11-01,2001,11,60,33,14,13,0,57.2
,,,2001-12-01,2001,12,78,40,18,19,1,58.9
,,,2002-01-01,2002,1,69,37,9,23,0,60.8
,,,2002-02-01,2002,2,47,25,6,15,1,60.1
,,,2002-03-01,2002,3,54,31,9,13,1,59.4
,,,2002-04-01,2002,4,58,34,14,8,2,61.1
,,,2002-05-01,2002,5,43,21,12,10,0,59.4
,,,2002-06-01,2002,6,73,44,13,13,3,60.0
,,,2002-07-01,2002,7,71,45,16,7,3,60.6
,,,2002-08-01,2002,8,53,27,16,10,0,60.1
,,,2002-09-01,2002,9,79,43,18,17,1,61.7
,,,2002-10-01,2002,10,84,37,17,26,4,64.1
,,,2002-11-01,2002,11,47,20,10,17,0,63.0
,,,2002-12-01,2002,12,56,31,14,11,0,61.2
,,,2003-01-01,2003,1,57,26,15,16,0,60.2
,,,2003-02-01,2003,2,42,21,11,9,1,59.8
,,,2003-03-01,2003,3,49,24,11,13,1,59.3
,,,2003-04-01,2003,4,47,35,6,6,0,58.4
,,,2003-05-01,2003,5,69,42,18,9,0,60.6
,,,2003-06-01,2003,6,85,51,23,9,2,61.6
,,,2003-07-01,2003,7,56,28,14,12,2,60.3
,,,2003-08-01,2003,8,76,48,19,8,1,62.2
,,,2003-09-01,2003,9,51,26,18,7,0,59.9
,,,2003-10-01,2003,10,61,38,10,12,1,58.0
,,,2003-11-01,2003,11,58,34,9,13,2,58.9
,,,2003-12-01,2003,12,50,22,9,18,1,58.4
,,,2004-01-01,2004,1,50,31,9,10,0,57.8
,,,2004-02-01,2004,2,48,34,5,8,1,58.3
,,,2004-03-01,2004,3,43,25,8,9,1,57.8
,,,2004-04-01,2004,4,40,26,4,9,1,57.2
,,,2004-05-01,2004,5,59,29,14,15,1,56.4
,,,2004-06-01,2004,6,63,41,10,9,3,54.6
,,,2004-07-01,2004,7,63,42,9,9,3,55.2
,,,2004-08-01,2004,8,61,38,10,12,1,53.9
,,,2004-09-01,2004,9,62,31,14,16,1,54.8
,,,2004-10-01,2004,10,71,39,18,14,0,55.7
,,,2004-11-01,2004,11,56,29,14,12,1,55.5
,,,2004-12-01,2004,12,59,29,8,20,2,56.2
,,,2005-01-01,2005,1,47,30,9,8,0,56.0
,,,2005-02-01,2005,2,32,18,7,7,0,54.7
,,,2005-03-01,2005,3,57,34,9,14,0,55.8
,,,2005-04-01,2005,4,57,34,9,13,1,57.2
,,,2005-05-01,2005,5,50,29,7,13,1,56.5
,,,2005-06-01,2005,6,76,50,14,8,4,57.6
,,,2005-07-01,2005,7,66,40,14,9,3,57.8
,,,2005-08-01,2005,8,64,35,22,5,2,58.1
,,,2005-09-01,2005,9,69,38,12,18,1,58.7
,,,2005-10-01,2005,10,65,32,12,19,2,58.2
,,,2005-11-01,2005,11,71,34,18,18,1,59.4
,,,2005-12-01,2005,12,60,31,12,16,1,59.5
,,,2006-01-01,2006,1,68,31,12,24,1,61.2
,,,2006-02-01,2006,2,42,26,6,10,0,62.1
,,,2006-03-01,2006,3,63,38,12,13,0,62.6
,,,2006-04-01,2006,4,65,35,23,7,0,63.2
,,,2006-05-01,2006,5,70,41,14,13,2,64.9
,,,2006-06-01,2006,6,41,25,7,8,1,62.0
,,,2006-07-01,2006,7,72,45,13,12,2,62.5
,,,2006-08-01,2006,8,66,41,13,11,1,62.7
,,,2006-09-01,2006,9,75,39,19,15,2,63.2
,,,2006-10-01,2006,10,67,38,9,19,1,63.3
,,,2006-11-01,2006,11,63,31,15,17,0,62.7
,,,2006-12-01,2006,12,71,38,17,15,1,63.6
,,,2007-01-01,2007,1,69,40,14,15,0,63.7
,,,2007-02-01,2007,2,45,25,9,11,0,63.9
,,,2007-03-01,2007,3,57,26,15,16,0,63.4
,,,2007-04-01,2007,4,41,28,7,6,0,61.4
,,,2007-05-01,2007,5,54,45,6,3,0,60.1
,,,2007-06-01,2007,6,67,44,10,11,2,62.2
,,,2007-07-01,2007,7,79,51,16,10,2,62.8
,,,2007-08-01,2007,8,65,38,14,13,0,62.8
,,,2007-09-01,2007,9,63,41,13,7,2,61.8
,,,2007-10-01,2007,10,70,37,12,18,3,62.0
,,,2007-11-01,2007,11,53,27,9,15,2,61.2
,,,2007-12-01,2007,12,59,25,8,25,1,60.2
,,,2008-01-01,2008,1,59,34,8,14,3,59.3
,,,2008-02-01,2008,2,40,19,8,13,0,58.9
,,,2008-03-01,2008,3,33,18,7,7,1,56.9
,,,2008-04-01,2008,4,50,30,8,11,1,57.7
,,,2008-05-01,2008,5,46,28,7,10,1,57.0
,,,2008-06-01,2008,6,51,30,8,8,5,55.7
,,,2008-07-01,2008,7,55,30,10,14,1,53.7
,,,2008-08-01,2008,8,52,31,12,5,4,52.6
,,,2008-09-01,2008,9,46,25,10,9,2,51.2
,,,2008-10-01,2008,10,60,29,14,16,1,50.3
,,,2008-11-01,2008,11,52,28,12,11,1,50.2
,,,2008-12-01,2008,12,46,18,8,20,0,49.2
,,,2009-01-01,2009,1,57,24,9,24,0,49.0
,,,2009-02-01,2009,2,45,23,7,15,0,49.4
,,,2009-03-01,2009,3,35,14,10,11,0,49.6
,,,2009-04-01,2009,4,48,30,7,11,0,49.4
,,,2009-05-01,2009,5,43,23,5,13,2,49.2
,,,2009-06-01,2009,6,51,34,7,7,3,49.2
,,,2009-07-01,2009,7,56,32,8,13,3,49.2
,,,2009-08-01,2009,8,57,27,15,13,2,49.7
,,,2009-09-01,2009,9,52,33,9,8,2,50.2
,,,2009-10-01,2009,10,42,22,6,14,0,48.7
,,,2009-11-01,2009,11,49,24,10,13,2,48.4
,,,2009-12-01,2009,12,49,29,5,15,0,48.7
,,,2010-01-01,2010,1,37,22,9,6,0,47.0
,,,2010-02-01,2010,2,28,12,4,11,1,45.6
