cc,mc,county,municipality,crashes,cyclist,driver,passenger,pedestrian,trailing_365,trailing_365_driver,trailing_365_passenger,trailing_365_pedestrian,trailing_365_cyclist
,,Atlantic,,25,1,12,4,9,27,13,4,10,1
,,Bergen,,28,0,16,0,11,29,17,1,11,0
,,Burlington,,38,0,28,6,7,37,26,6,8,1
,,Camden,,29,2,12,3,13,30,13,3,14,1
,,Cape May,,5,0,5,1,0,6,5,2,0,0
,,Cumberland,,21,1,11,2,6,21,11,2,7,1
,,Essex,,37,0,11,4,26,40,12,3,27,0
,,Gloucester,,30,2,19,7,3,29,19,7,3,2
,,Hudson,,31,0,14,0,21,25,11,0,15,0
,,Hunterdon,,5,0,2,0,2,6,3,1,2,0
,,Mercer,,23,1,11,6,8,25,13,6,8,1
,,Middlesex,,45,2,28,6,10,46,29,5,11,2
,,Monmouth,,50,2,23,4,26,37,20,3,11,3
,,Morris,,19,0,11,0,9,19,11,1,6,1
,,Ocean,,43,2,31,5,7,45,32,6,9,2
,,Passaic,,19,0,12,3,6,19,12,3,6,0
,,Salem,,12,0,10,2,0,14,11,5,1,0
,,Somerset,,18,0,14,0,3,16,12,1,3,0
,,Sussex,,19,0,25,0,3,14,11,0,3,0
,,Union,,46,0,21,4,23,36,16,4,17,0
,,Warren,,7,0,5,0,2,7,5,0,2,0
1,1,Atlantic,Absecon City,0,0,0,0,0,1,0,0,1,0
1,2,Atlantic,Atlantic City,7,1,2,1,2,5,2,1,2,1
1,5,Atlantic,Buena Vista Twsp,2,0,0,2,0,2,0,2,0,0
1,7,Atlantic,Egg Harbor City,1,0,1,0,0,1,1,0,0,0
1,8,Atlantic,Egg Harbor Twsp,2,0,2,0,0,3,2,0,1,0
1,9,Atlantic,Estell Manor City,0,0,0,0,0,1,1,0,0,0
1,10,Atlantic,Folsom Boro,0,0,0,0,0,1,1,0,0,0
1,11,Atlantic,Galloway Twsp,1,0,0,0,0,2,1,0,1,0
1,12,Atlantic,Hamilton Twsp,8,0,4,0,4,8,4,1,3,0
1,13,Atlantic,Hammonton Town,1,0,1,0,0,1,1,0,0,0
1,14,Atlantic,Linwood City,0,0,0,0,0,1,0,0,1,0
1,19,Atlantic,Pleasantville City,1,0,0,0,1,1,0,0,1,0
1,21,Atlantic,Somers Point City,0,0,0,0,0,0,0,0,0,0
2,2,Bergen,Alpine Boro,1,0,1,0,0,1,1,0,0,0
2,7,Bergen,Closter Boro,0,0,0,0,0,0,0,0,0,0
2,11,Bergen,Elmwood Park Boro,0,0,0,0,0,1,1,0,0,0
2,12,Bergen,East Rutherford Bor,1,0,0,0,0,2,1,0,1,0
